GO.ID,Term,Annotated,Significant,Expected,classicFisher
GO:0019674,NAD metabolic process,14,11,4.72,0.00075
GO:0051606,detection of stimulus,18,13,6.07,0.00094
GO:0050906,detection of stimulus involved in sensor...,8,7,2.7,0.00277
GO:0072525,pyridine-containing compound biosyntheti...,24,15,8.1,0.00355
GO:0007405,neuroblast proliferation,5,5,1.69,0.00434
GO:0072089,stem cell proliferation,7,6,2.36,0.00728
GO:0007411,axon guidance,19,12,6.41,0.00808
GO:0097485,neuron projection guidance,19,12,6.41,0.00808
GO:0051188,cofactor biosynthetic process,61,30,20.59,0.00836
GO:1901989,positive regulation of cell cycle phase ...,15,10,5.06,0.00919
GO:0019359,nicotinamide nucleotide biosynthetic pro...,22,13,7.42,0.01264
GO:0019363,pyridine nucleotide biosynthetic process,22,13,7.42,0.01264
GO:0009593,detection of chemical stimulus,4,4,1.35,0.01291
GO:0050907,detection of chemical stimulus involved ...,4,4,1.35,0.01291
GO:0030855,epithelial cell differentiation,29,16,9.79,0.01385
GO:0044843,cell cycle G1/S phase transition,16,10,5.4,0.01718
GO:0051186,cofactor metabolic process,113,49,38.14,0.01867
GO:0000082,G1/S transition of mitotic cell cycle,14,9,4.72,0.01871
GO:0006730,one-carbon metabolic process,6,5,2.02,0.01876
GO:0055072,iron ion homeostasis,6,5,2.02,0.01876
