Orthogroup,class,Common_blast,species,tissue,expression,Gene,gene_tree
OG0007208,TVG,"Q9WU01|KHDR2_MOUSE KH domain-containing, RNA-binding, signal transduction-associated protein 2",Agalma elegans,PalmatGasmat,0.939162330994252,582984,NA
OG0003469,TVG,P26990|ARF6_CHICK ADP-ribosylation factor 6,Agalma elegans,PalmatGasmat,0.9297980240068419,603248,NA
OG0003497,TVG,P83852|CBPD_LOPSP Carboxypeptidase D,Agalma elegans,PalmatGasmat,0.445487607448643,625488,NA
OG0003556,TVG,Q2PC93|SSPO_CHICK SCO-spondin,Agalma elegans,PalmatGasmat,0.9107078982135158,629871,NA
OG0003487,TVG,P19440|GGT1_HUMAN Gamma-glutamyltranspeptidase 1 {ECO:0000303|PubMed:2904146},Agalma elegans,PalmatGasmat,0.33306604454560834,641159,bbc1566e6848719382da07a664f1db23
OG0003339,TVG,Q23978|MY31D_DROME Myosin-IA,Agalma elegans,PalmatGasmat,0.8032562087916431,524260,NA
OG0003543,TVG,Q8BG58|P4HTM_MOUSE Transmembrane prolyl 4-hydroxylase,Agalma elegans,PalmatGasmat,0.4874001097572462,587251,NA
OG0003457,TVG,Q9Y3Q0|NALD2_HUMAN N-acetylated-alpha-linked acidic dipeptidase 2,Agalma elegans,PalmatGasmat,0.33348116170465913,587375,1bf0d13b906d4fb03ff61bbda04e41a8
OG0003657,TVG,P35445|COMP_BOVIN Cartilage oligomeric matrix protein,Agalma elegans,PalmatGasmat,0.8072506858697843,640362,NA
OG0004436,TVG,Q8BG19|TMTC4_MOUSE Transmembrane and TPR repeat-containing protein 4,Agalma elegans,PalmatGasmat,0.9550205671773639,620455,NA
OG0003462,TVG,Q64620|PPP6_RAT Serine/threonine-protein phosphatase 6 catalytic subunit,Agalma elegans,PalmatGasmat,0.9525945832857396,581141,NA
OG0003626,TVG,A4IF97|ML12B_BOVIN Myosin regulatory light chain 12B,Agalma elegans,PalmatGasmat,0.9612487975238226,604481,NA
OG0003786,TVG,A6QPN6|GILT_BOVIN Gamma-interferon-inducible lysosomal thiol reductase,Agalma elegans,PalmatGasmat,1.3877410467931244,635484,NA
OG0003801,TVG,P91953|HE_HEMPU 50 kDa hatching enzyme,Agalma elegans,PalmatGasmat,0.3847826331783219,617187,b13ee0f2ee34765a36b562f35d9de1b2
OG0003669,TVG,P56941|NPC1_PIG Niemann-Pick C1 protein,Agalma elegans,PalmatGasmat,0.8799123950288181,518360,NA
OG0003562,TVG,"Q91ZA3|PCCA_MOUSE Propionyl-CoA carboxylase alpha chain, mitochondrial",Agalma elegans,PalmatGasmat,0.8185023402606438,557051,96dc445098510f7fb611cb3ab0489eb2
