gene_tree,S_child,S_new,change,treatment,change_direction,blast_hit,GO
8bf590d186f9f152e8ad425233a92b7b,35,L,-3.6549261589851034,PalmatGasmat,Negative,Q2XWK0|SVOP_XENLA Synaptic vesicle 2-related protein,GO:0022857;GO:0055085;GO:0016021
8bf590d186f9f152e8ad425233a92b7b,35,L,-3.7787481978139406,PalmatGasmat,Negative,Q2XWK0|SVOP_XENLA Synaptic vesicle 2-related protein,GO:0022857;GO:0055085;GO:0016021
8bf590d186f9f152e8ad425233a92b7b,26,J,-2.2802329477112186,PalmatGasmat,Negative,Q2XWK0|SVOP_XENLA Synaptic vesicle 2-related protein,GO:0022857;GO:0055085;GO:0016021
8bf590d186f9f152e8ad425233a92b7b,26,J,-4.799378613427355,PalmatGasmat,Negative,Q2XWK0|SVOP_XENLA Synaptic vesicle 2-related protein,GO:0022857;GO:0055085;GO:0016021
643866497a0554dbf9d57028c53af567,32,K,-5.247931200141479,PalmatGasmat,Negative,O75923|DYSF_HUMAN Dysferlin,GO:0007520;GO:0016021
643866497a0554dbf9d57028c53af567,N37,E,-3.236544257928903,PalmatGasmat,Negative,O75923|DYSF_HUMAN Dysferlin,GO:0007520;GO:0016021
50e0166fe077e9b75045fd72a901b705,N37,E,-4.421736130031267,PalmatGasmat,Negative,"Q9BYG0|B3GN5_HUMAN Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase",GO:0006486;GO:0000139;GO:0016757;GO:0016021
50e0166fe077e9b75045fd72a901b705,32,K,-5.284761595927147,PalmatGasmat,Negative,"Q9BYG0|B3GN5_HUMAN Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase",GO:0006486;GO:0000139;GO:0016757;GO:0016021
50e0166fe077e9b75045fd72a901b705,26,J,-2.6097878014224563,PalmatGasmat,Negative,"Q9BYG0|B3GN5_HUMAN Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase",GO:0006486;GO:0000139;GO:0016757;GO:0016021
beb87988754e0571f4e5519472260229,32,K,-2.236555403650068,PalmatGasmat,Negative,Q8BUR4|DOCK1_MOUSE Dedicator of cytokinesis protein 1,GO:0007264;GO:0005085;GO:0016020;GO:0030036;GO:0035580;GO:0001766;GO:0042608;GO:0002277;GO:0005856;GO:0048365;GO:0070062;GO:0046633;GO:0001768;GO:0044351;GO:0005096;GO:0005667;GO:0001771;GO:0045059;GO:0045060;GO:0005829;GO:0003713;GO:0005634;GO:0050766;GO:0043547;GO:0006935;GO:0035022;GO:0043312;GO:0060261;GO:0050690
1ff1b2211c216310478672808ff4a03e,N37,E,-2.0766105589899007,PalmatGasmat,Negative,Q6DFF6|KLH20_XENLA Kelch-like protein 20,GO:0031463;GO:0003779;GO:0016567;GO:0015629;GO:0042802;GO:0005737;GO:0016021
1ff1b2211c216310478672808ff4a03e,32,K,-2.876804688617261,PalmatGasmat,Negative,Q6DFF6|KLH20_XENLA Kelch-like protein 20,GO:0031463;GO:0003779;GO:0016567;GO:0015629;GO:0042802;GO:0005737;GO:0016021
1ff1b2211c216310478672808ff4a03e,32,K,-3.994532003356428,PalmatGasmat,Negative,Q6DFF6|KLH20_XENLA Kelch-like protein 20,GO:0031463;GO:0003779;GO:0016567;GO:0015629;GO:0042802;GO:0005737;GO:0016021
02252a00d919fd4d3a1674f4a9c52a81,32,K,-2.199830587962458,PalmatGasmat,Negative,O01735|YC91_CAEEL Uncharacterized MFS-type transporter C09D4.1,GO:0022857;GO:0055085;GO:0016021
02252a00d919fd4d3a1674f4a9c52a81,26,J,-2.867994050583485,PalmatGasmat,Negative,O01735|YC91_CAEEL Uncharacterized MFS-type transporter C09D4.1,GO:0022857;GO:0055085;GO:0016021
c432a4e2ec4e2def3e89890ffc75229b,32,K,-4.818177176458723,PalmatGasmat,Negative,Q8BP40|PPA6_MOUSE Lysophosphatidic acid phosphatase type 6,NA
2b9e844efda3994bdc0d1cfc3bceef9e,35,L,-2.9297453755269487,PalmatGasmat,Negative,Q86WI1|PKHL1_HUMAN Fibrocystin-L,GO:0007156;GO:0005509;GO:0005886;GO:0016021;GO:0000272
